City,2020,2019,long,lat,Dispensary Count,Population per Dispensary,County
Klamath Falls,20840,21753,-121.7816704,42.224867,4,5210,Klamath
Lakeside,1699,1798,-124.1751135,43.5756704,1,1699,Coos
La Pine,1653,1929,-121.503636,43.6703995,3,551,Deschutes
Lebanon,15518,17417,-122.9070339,44.5365119,7,2216.857143,Linn
Lincoln City,7930,9170,-124.0158347,44.9612229,8,991.25,Lincoln
Madras,6046,7051,-121.1294872,44.6334544,5,1209.2,Jefferson
Manzanita,598,661,-123.9351354,45.7184398,1,598,Tillamook
Medford,74907,83072,-122.8755949,42.3265152,34,2203.147059,Jackson
Milwaukie,20291,20990,-122.6322812,45.4465305,8,2536.375,Clackamas
Molalla,8108,9265,-122.5770888,45.1475308,2,4054,Clackamas
Monmouth,9534,10586,-123.2339888,44.8484524,4,2383.5,Polk
Myrtle Creek,3439,3483,-123.2931205,43.0201173,1,3439,Douglas
Myrtle Point,2514,2559,-124.138992,43.064832,2,1257,Coos
Newberg,22068,23886,-122.9469463,45.3064258,3,7356,Yamhill
Newport,9989,10853,-124.0534505,44.6367836,5,1997.8,Lincoln
North Bend,9695,9768,-124.2242803,43.4065012,4,2423.75,Coos
Oakridge,3205,3370,-122.4617159,43.7465124,2,1602.5,Lane
Ontario,11366,10994,-116.9629378,44.0265525,9,1262.888889,Malheur
Oregon City,31859,37339,-122.6050422,45.3364465,8,3982.375,Clackamas
Pendleton,16612,16789,-118.7885967,45.672075,4,4153,Umatilla
Phoenix,4538,4653,-122.818092,42.2754058,1,4538,Jackson
Portland,583776,654741,-122.6750261,45.5051064,217,2690.211982,Multnomah
Rainier,1895,2010,-122.9359092,46.0891587,3,631.6666667,Columbia
Reedsport,4154,4112,-124.0967779,43.7023389,5,830.8,Douglas
Rockaway Beach,1312,1416,-123.9429115,45.613438,3,437.3333333,Tillamook
Rogue River,2131,2331,-123.1719976,42.435954,2,1065.5,Jackson
Roseburg,21181,23479,-123.3417381,43.216505,9,2353.444444,Douglas
St. Helens,12883,13739,-122.8212,45.859,3,4294.333333,Columbia
Salem,154637,174365,-123.0350963,44.9428975,52,2973.788462,Marion
Scappoose,6592,7564,-122.878086,45.757732,3,2197.333333,Columbia
Seaside,6457,6892,-123.9226385,45.9931636,6,1076.166667,Clatsop
Sheridan,6127,6215,-123.3948291,45.0992814,2,3063.5,Yamhill
Sherwood,18194,19879,-122.8402749,45.3563261,1,18194,Washington
Silverton,9222,10618,-122.7831455,45.0051213,2,4611,Marion
Springfield,59403,63230,-123.0220289,44.0462362,11,5400.272727,Lane
Stayton,7644,8295,-122.7945333,44.8006775,3,2548,Marion
Sumpter,204,206,-118.2021633,44.7457069,2,102,Baker
Sweet Home,8925,9977,-122.7361958,44.3976247,4,2231.25,Linn
Talent,6066,6608,-122.7886462,42.2456844,3,2022,Jackson
Tangent,1164,1347,-123.1081497,44.5412335,1,1164,Linn
The Dalles,13620,15761,-121.1786823,45.5945645,5,2724,Wasco
Tigard,48035,55514,-122.7872475,45.4186785,4,12008.75,Washington
Tillamook,4935,5355,-123.8440137,45.4562158,4,1233.75,Tillamook
Toledo,3465,3644,-123.9384478,44.621507,1,3465,Lincoln
Troutdale,15962,16183,-122.3906213,45.5407696,1,15962,Multnomah
Turner,1854,2121,-122.9528708,44.8431766,1,1854,Marion
Veneta,4561,5056,-123.3509294,44.0487342,3,1520.333333,Lane
Vernonia,2151,2281,-123.1978501,45.8586502,1,2151,Columbia
Waldport,2033,2230,-124.0687302,44.426786,3,677.6666667,Lincoln
Wheeler,414,440,-123.8806879,45.688996,1,414,Tillamook
Willamina,2025,2250,-123.4859416,45.0787251,1,2025,Polk
Woodburn,24080,26273,-122.8553724,45.143731,1,24080,Marion
Wood Village,3878,4093,-122.4184444,45.537111,1,3878,Multnomah
Yachats,690,784,-124.1048418,44.3112312,1,690,Lincoln
