County,Month Filter,Latitude (generated),Longitude (generated),Sales
Lake,4/1/2019,42.8178,-120.6468,88854.6
Harney,4/1/2019,43.0263,-119.0802,123259.85
Jefferson,4/1/2019,44.6083,-121.0936,296020.69
Wasco,4/1/2019,45.2651,-121.2515,364164.23
Hood River,4/1/2019,45.4923,-121.6721,396153.93
Klamath,4/1/2019,42.8067,-121.8166,398419.67
Tillamook,4/1/2019,45.415,-123.6996,574642.43
Polk,4/1/2019,44.8981,-123.4282,592886.79
Columbia,4/1/2019,45.9577,-123.0865,672582.95
Curry,4/1/2019,42.4773,-124.2135,849322.97
Umatilla,4/1/2019,45.5072,-118.6314,946483.83
Benton,4/1/2019,44.4993,-123.4045,947355.57
Josephine,4/1/2019,42.3912,-123.6336,956426.64
Clatsop,4/1/2019,46.0053,-123.6441,962988.23
Coos,4/1/2019,43.1398,-124.0606,1058765.75
Douglas,4/1/2019,43.324,-122.8891,1122588.73
Yamhill,4/1/2019,45.2547,-123.2325,1153950.9
Lincoln,4/1/2019,44.661,-123.8306,1337632.73
Linn,4/1/2019,44.4967,-122.5258,1413203.06
Jackson,4/1/2019,42.5019,-122.7562,3062380.66
Baker,4/1/2019,44.6697,-117.7972,3203740.27
Deschutes,4/1/2019,44.0035,-121.4056,3387109.76
Clackamas,4/1/2019,45.1741,-122.2447,3766817.99
Marion,4/1/2019,44.9852,-122.8053,4369220
Lane,4/1/2019,43.8651,-122.7483,6218822.74
Washington,4/1/2019,45.5492,-123.104,6319562.74
Multnomah,4/1/2019,45.5805,-122.6646,17715832.94
Wallowa,5/1/2019,45.5415,-117.127,9512.2
Union,5/1/2019,45.401,-118.046,61165.08
Grant,5/1/2019,44.4798,-119.009,73593.44
Lake,5/1/2019,42.8178,-120.6468,107976.88
Harney,5/1/2019,43.0263,-119.0802,148904.48
Jefferson,5/1/2019,44.6083,-121.0936,318917.29
Wasco,5/1/2019,45.2651,-121.2515,382330.22
Klamath,5/1/2019,42.8067,-121.8166,452552.39
Hood River,5/1/2019,45.4923,-121.6721,452877.79
Tillamook,5/1/2019,45.415,-123.6996,605664.82
Polk,5/1/2019,44.8981,-123.4282,618078.5
Columbia,5/1/2019,45.9577,-123.0865,689462.77
Curry,5/1/2019,42.4773,-124.2135,763648.68
Clatsop,5/1/2019,46.0053,-123.6441,969945
Benton,5/1/2019,44.4993,-123.4045,972414.51
Umatilla,5/1/2019,45.5072,-118.6314,986727.93
Josephine,5/1/2019,42.3912,-123.6336,1073148.37
Coos,5/1/2019,43.1398,-124.0606,1110959.74
Douglas,5/1/2019,43.324,-122.8891,1195801.96
Yamhill,5/1/2019,45.2547,-123.2325,1211767.51
Lincoln,5/1/2019,44.661,-123.8306,1383820
Linn,5/1/2019,44.4967,-122.5258,1469249.67
Jackson,5/1/2019,42.5019,-122.7562,3236580.47
Clackamas,5/1/2019,45.1741,-122.2447,3328742.86
Baker,5/1/2019,44.6697,-117.7972,3510582.81
Deschutes,5/1/2019,44.0035,-121.4056,3589103.53
Marion,5/1/2019,44.9852,-122.8053,4536028.32
Washington,5/1/2019,45.5492,-123.104,6380988.75
Lane,5/1/2019,43.8651,-122.7483,6502668.34
Multnomah,5/1/2019,45.5805,-122.6646,18431533.21
Union,6/1/2019,45.401,-118.046,50753.72
Wallowa,6/1/2019,45.5415,-117.127,62134.94
Grant,6/1/2019,44.4798,-119.009,74156.89
Lake,6/1/2019,42.8178,-120.6468,111698.92
Harney,6/1/2019,43.0263,-119.0802,159742.23
Jefferson,6/1/2019,44.6083,-121.0936,331866.66
Wasco,6/1/2019,45.2651,-121.2515,402514.57
Klamath,6/1/2019,42.8067,-121.8166,443649.81
Hood River,6/1/2019,45.4923,-121.6721,456106.62
Polk,6/1/2019,44.8981,-123.4282,618682.53
Tillamook,6/1/2019,45.415,-123.6996,669017.98
Columbia,6/1/2019,45.9577,-123.0865,689477.87
Curry,6/1/2019,42.4773,-124.2135,800446.22
Benton,6/1/2019,44.4993,-123.4045,935946.42
Umatilla,6/1/2019,45.5072,-118.6314,987163.12
Clatsop,6/1/2019,46.0053,-123.6441,1059594.89
Josephine,6/1/2019,42.3912,-123.6336,1103470.38
Coos,6/1/2019,43.1398,-124.0606,1128388.84
Douglas,6/1/2019,43.324,-122.8891,1201848.57
Yamhill,6/1/2019,45.2547,-123.2325,1208572.28
Linn,6/1/2019,44.4967,-122.5258,1468937.99
Lincoln,6/1/2019,44.661,-123.8306,1488890.86
Jackson,6/1/2019,42.5019,-122.7562,3371802.65
Clackamas,6/1/2019,45.1741,-122.2447,3399413.37
Baker,6/1/2019,44.6697,-117.7972,3475033.11
Deschutes,6/1/2019,44.0035,-121.4056,3830816.04
Marion,6/1/2019,44.9852,-122.8053,4685113.03
Washington,6/1/2019,45.5492,-123.104,6524723.88
Lane,6/1/2019,43.8651,-122.7483,6603314.21
Multnomah,6/1/2019,45.5805,-122.6646,19249804.19
